District,Zone,Geographical Region,Development Region,Year AD,Year BS,Number of people
Rukum,Rapti,Hill,Mid-Western,2011,2068,2097
Rukum,Rapti,Hill,Mid-Western,2012,2069,2174
Rukum,Rapti,Hill,Mid-Western,2013,2070,2425
Rukum,Rapti,Hill,Mid-Western,2011,2068,122
Rukum,Rapti,Hill,Mid-Western,2012,2069,83
Rukum,Rapti,Hill,Mid-Western,2013,2070,105
Salyan,Rapti,Hill,Mid-Western,2011,2068,3515
Salyan,Rapti,Hill,Mid-Western,2012,2069,1999
Salyan,Rapti,Hill,Mid-Western,2013,2070,2726
Salyan,Rapti,Hill,Mid-Western,2011,2068,437
Salyan,Rapti,Hill,Mid-Western,2012,2069,111
Salyan,Rapti,Hill,Mid-Western,2013,2070,71
Dang,Rapti,Terai,Mid-Western,2011,2068,912
Dang,Rapti,Terai,Mid-Western,2012,2069,6887
Dang,Rapti,Terai,Mid-Western,2013,2070,8219
Dang,Rapti,Terai,Mid-Western,2011,2068,280
Dang,Rapti,Terai,Mid-Western,2012,2069,612
Dang,Rapti,Terai,Mid-Western,2013,2070,577
Banke,Bheri,Terai,Mid-Western,2011,2068,2685
Banke,Bheri,Terai,Mid-Western,2012,2069,3669
Banke,Bheri,Terai,Mid-Western,2013,2070,4277
Banke,Bheri,Terai,Mid-Western,2011,2068,171
Banke,Bheri,Terai,Mid-Western,2012,2069,426
Banke,Bheri,Terai,Mid-Western,2013,2070,395
Bardiya,Bheri,Terai,Mid-Western,2011,2068,4314
Bardiya,Bheri,Terai,Mid-Western,2012,2069,3279
Bardiya,Bheri,Terai,Mid-Western,2013,2070,3965
Bardiya,Bheri,Terai,Mid-Western,2011,2068,95
Bardiya,Bheri,Terai,Mid-Western,2012,2069,412
Bardiya,Bheri,Terai,Mid-Western,2013,2070,320
Surkhet,Bheri,Hill,Mid-Western,2011,2068,2521
Surkhet,Bheri,Hill,Mid-Western,2012,2069,1739
Surkhet,Bheri,Hill,Mid-Western,2013,2070,2005
Surkhet,Bheri,Hill,Mid-Western,2011,2068,120
Surkhet,Bheri,Hill,Mid-Western,2012,2069,232
Surkhet,Bheri,Hill,Mid-Western,2013,2070,217
Dailekh,Bheri,Hill,Mid-Western,2011,2068,15946
Dailekh,Bheri,Hill,Mid-Western,2012,2069,453
Dailekh,Bheri,Hill,Mid-Western,2013,2070,653
